Ticker,ARIMA_RMSE,ARIMA_MAE,RF_RMSE,RF_MAE
INFY.NS,100.06,79.9,22.43,15.88
TCS.NS,315.11,270.6,39.25,29.82
RELIANCE.NS,87.84,73.61,16.25,12.79
HDFCBANK.NS,89.61,84.42,16.48,11.56
INFY.NS,100.06,79.9,22.43,15.88
TCS.NS,315.11,270.6,39.25,29.82
RELIANCE.NS,87.84,73.61,16.25,12.79
HDFCBANK.NS,89.61,84.42,16.49,11.56
INFY.NS,100.06,79.9,22.43,15.88,1.254,1.078
TCS.NS,315.11,270.6,39.25,29.82,1.284,1.233
RELIANCE.NS,87.84,73.61,16.25,12.79,0.923,1.127
HDFCBANK.NS,89.61,84.42,16.48,11.56,1.385,1.199
INFY.NS,100.06,79.9,22.43,15.88,1.254,1.078
TCS.NS,315.11,270.6,39.25,29.82,1.284,1.233
RELIANCE.NS,87.84,73.61,16.25,12.79,0.923,1.127
HDFCBANK.NS,89.61,84.42,16.48,11.56,1.385,1.199
